original_word1,original_word2,normalized_word1,normalized_word2,skip_reason
kitob,asar,kitob,asar,oov_word2vec
maktab,ta'lim,maktab,ta'lim,oov_word2vec
yomon,salbiy,yomon,salbiy,oov_word2vec
daraxt,barg,daraxt,barg,oov_word2vec
barg,yaproq,barg,yaproq,oov_word2vec
ilm,fan,ilm,fan,oov_word2vec
ta'lim,o'qitish,ta'lim,o'qitish,oov_word2vec
o'qituvchi,ustoz,o'qituvchi,ustoz,oov_word2vec
dastur,ilova,dastur,ilova,oov_word2vec
ma'lumot,axborot,ma'lumot,axborot,oov_word2vec
avtomobil,mashina,avtomobil,mashina,oov_word2vec
telefon,mobil,telefon,mobil,oov_word2vec
laboratoriya,tajriba,laboratoriya,tajriba,oov_word2vec
kitoblarni,asarda,kitoblarni,asarda,oov_word2vec
kitoblarni,asarning,kitoblarni,asarning,oov_word2vec
kitoblarni,asarlarimiz,kitoblarni,asarlarimiz,oov_word2vec
kitoblarni,asarga,kitoblarni,asarga,oov_word2vec
kitoblarni,asar,kitoblarni,asar,oov_word2vec
kitoblarni,asarlarni,kitoblarni,asarlarni,oov_word2vec
kitoblarni,asardan,kitoblarni,asardan,oov_word2vec
kitoblarni,asarimiz,kitoblarni,asarimiz,oov_word2vec
kitoblarni,asarlar,kitoblarni,asarlar,oov_word2vec
kitoblar,asarda,kitoblar,asarda,oov_word2vec
kitoblar,asarning,kitoblar,asarning,oov_word2vec
kitoblar,asarlarimiz,kitoblar,asarlarimiz,oov_word2vec
kitoblar,asarga,kitoblar,asarga,oov_word2vec
kitoblar,asar,kitoblar,asar,oov_word2vec
kitoblar,asarlarni,kitoblar,asarlarni,oov_word2vec
kitoblar,asardan,kitoblar,asardan,oov_word2vec
kitoblar,asarimiz,kitoblar,asarimiz,oov_word2vec
kitoblar,asarlar,kitoblar,asarlar,oov_word2vec
kitobning,asarda,kitobning,asarda,oov_word2vec
kitobning,asarning,kitobning,asarning,oov_word2vec
kitob,kitoblar,kitob,kitoblar,oov_word2vec
ilm,ilmiy,ilm,ilmiy,oov_word2vec
maktab,maktabda,maktab,maktabda,oov_word2vec
dastur,dasturchi,dastur,dasturchi,oov_word2vec
ma'lumot,ma'lumotlar,ma'lumot,ma'lumotlar,oov_word2vec
o'qituvchi,o'qituvchilar,o'qituvchi,o'qituvchilar,oov_word2vec
ta'lim,ta'limiy,ta'lim,ta'limiy,oov_word2vec
sun'iy,suniy,sun'iy,suniy,oov_word2vec
kitoblarni,kitoblarlarni,kitoblarni,kitoblarlarni,oov_word2vec
kitoblarni,kitoblarga,kitoblarni,kitoblarga,oov_word2vec
kitoblarni,kitoblarda,kitoblarni,kitoblarda,oov_word2vec
kitoblarni,kitoblar,kitoblarni,kitoblar,oov_word2vec
kitoblarni,kitoblardan,kitoblarni,kitoblardan,oov_word2vec
kitoblarni,kitoblarlar,kitoblarni,kitoblarlar,oov_word2vec
kitoblarni,kitoblarlarimiz,kitoblarni,kitoblarlarimiz,oov_word2vec
kitoblarni,kitoblarimiz,kitoblarni,kitoblarimiz,oov_word2vec
kitoblarni,kitoblarning,kitoblarni,kitoblarning,oov_word2vec
